popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category,time_signature,duration_ms
19,0.684,0.932,11,-6.019,0,0.117,0.123,0.000522,0.0627,0.772,102.924,blues,4,245827
41,0.382,0.698,0,-6.842,1,0.0422,0.576,0.186,0.188,0.531,71.792,blues,4,143360
19,0.551,0.616,6,-10.415,0,0.0533,0.0179,0.228,0.321,0.443,111.127,blues,4,145307
38,0.291,0.746,9,-5.459,0,0.0412,0.00192,0.000181,0.168,0.429,177.503,blues,4,232088
13,0.433,0.814,4,-6.935,1,0.0751,3.38e-05,0.738,0.277,0.685,137.556,blues,4,235600
1,0.453,0.542,5,-7.379,1,0.0391,0.975,0.011,0.0927,0.487,81.921,blues,4,156373
45,0.511,0.868,7,-5.749,1,0.0362,0.288,0.000172,0.344,0.868,106.841,blues,4,188000
39,0.708,0.248,0,-9.894,1,0.0752,0.522,2.7e-06,0.146,0.612,132.53,blues,1,181040
0,0.41,0.426,5,-9.946,0,0.0566,0.785,0.852,0.116,0.483,145.757,blues,3,193387
42,0.471,0.886,8,-3.627,1,0.0496,0.00261,0.0942,0.124,0.473,100.025,blues,4,236719
74,0.635,0.184,8,-10.785,1,0.0456,0.665,0.0,0.146,0.177,128.424,blues,4,240200
46,0.612,0.584,8,-6.296,1,0.0623,0.788,3.13e-06,0.193,0.845,154.704,blues,4,179626
49,0.591,0.864,4,-4.706,0,0.0399,0.0446,0.00571,0.279,0.728,131.006,blues,4,164440
36,0.495,0.707,10,-12.736,0,0.0775,0.346,0.000796,0.193,0.669,107.985,blues,4,359836
45,0.48,0.641,11,-3.996,0,0.042,0.0694,0.0,0.107,0.487,68.184,blues,4,223490
45,0.803,0.288,7,-15.418,0,0.0629,0.865,0.0593,0.0833,0.865,115.685,blues,4,259160
19,0.598,0.262,5,-11.871,0,0.043,0.796,0.807,0.11,0.634,136.342,blues,4,323293
19,0.495,0.71,2,-8.533,1,0.0486,0.275,0.0171,0.195,0.495,153.617,blues,4,183187
19,0.456,0.834,7,-6.685,1,0.0328,0.225,0.0,0.126,0.9,114.817,blues,4,174093
36,0.619,0.839,9,-10.204,1,0.416,0.265,0.00363,0.0789,0.743,162.385,blues,4,173000
4,0.605,0.601,11,-14.501,0,0.0838,0.959,0.94,0.527,0.88,138.213,blues,4,167146
41,0.431,0.892,0,-4.103,1,0.114,0.0768,1.49e-05,0.211,0.844,185.965,blues,4,243200
31,0.71,0.281,0,-9.495,1,0.0325,0.46,4.73e-05,0.0917,0.564,114.888,blues,4,257453
31,0.572,0.183,5,-19.793,0,0.047,0.884,0.903,0.127,0.336,119.079,blues,4,414667
27,0.496,0.141,2,-13.497,1,0.0436,0.989,1.34e-05,0.157,0.367,110.707,blues,4,185360
39,0.785,0.147,6,-11.382,1,0.125,0.938,0.00159,0.0864,0.261,100.824,blues,4,158800
37,0.58,0.843,4,-5.575,0,0.094,0.00321,0.112,0.222,0.666,138.034,blues,4,231761
30,0.45,0.347,0,-16.269,1,0.0349,0.177,0.0551,0.102,0.394,157.47,blues,3,358200
36,0.727,0.27,4,-13.179,0,0.0367,0.84,0.124,0.0949,0.742,96.04,blues,4,173613
27,0.472,0.479,2,-14.961,1,0.0338,0.417,0.00519,0.0762,0.619,113.607,blues,3,409200
35,0.515,0.5,11,-8.986,0,0.0607,0.644,2.24e-06,0.119,0.634,155.383,blues,3,224640
39,0.664,0.384,0,-10.569,1,0.0455,0.488,0.0435,0.108,0.396,116.242,blues,3,151403
29,0.25,0.804,0,-6.873,1,0.0723,0.0963,0.844,0.531,0.729,174.232,blues,4,350947
37,0.647,0.204,3,-15.263,1,0.0454,0.964,0.00351,0.123,0.686,83.102,blues,4,188291
27,0.583,0.717,2,-10.517,1,0.0846,0.448,0.788,0.0584,0.615,172.619,blues,4,211427
49,0.523,0.568,9,-12.584,1,0.0751,0.652,0.00534,0.1,0.813,135.448,blues,4,259760
1,0.517,0.381,7,-13.961,1,0.0671,0.717,0.00316,0.161,0.558,178.044,blues,3,405987
52,0.882,0.476,0,-9.235,1,0.0528,0.458,2.47e-06,0.0445,0.964,112.65,blues,4,138533
50,0.591,0.42,10,-6.986,1,0.0317,0.0146,0.000121,0.101,0.52,129.918,blues,4,197783
19,0.698,0.609,0,-6.993,1,0.0485,0.743,0.0,0.188,0.665,131.057,blues,4,232413
